url,title,price,location,area_m2,rooms,floor,market_type,year_built,finish,heating,rent,ownership,available_from,advertiser_type,extras,price_per_m2,elevator,building_material,window_type,building_type,energy_certificate,security_features
https://www.otodom.pl/pl/oferta/na-6-pietrze-tereny-zielone-rynek-2-9km-ID4wwZC,"NA 6 PIĘTRZE | Tereny zielone | Rynek 2,9km!",693 281 zł,"Wełnowiec-Józefowiec, Katowice, śląskie",66.33,4,6,pierwotny,brak informacji,do wykończenia,miejskie,brak informacji,pełna własność,brak informacji,biuro nieruchomości,"balkon, garaż/miejsce parkingowe, piwnica",10452,tak,brak informacji,plastikowe,blok,brak informacji,brak informacji
https://www.otodom.pl/pl/oferta/najbardziej-prestizowa-lokalizacja-katowic-ID4wwZs,Najbardziej prestiżowa lokalizacja Katowic!,650 000 zł,"Henryka Mikołaja Góreckiego, Bogucice, Katowice, śląskie",42.62,2,> 10/16,wtórny,2024,do wykończenia,brak informacji,brak informacji,pełna własność,2025-03-04,biuro nieruchomości,"balkon, garaż/miejsce parkingowe",15251,tak,brak informacji,brak informacji,apartamentowiec,brak informacji,monitoring / ochrona
https://www.otodom.pl/pl/oferta/dla-rodziny-blisko-szkoly-wysoki-standard-ID4wwYN,Dla rodziny! Blisko szkoły! Wysoki standard!,689 900 zł,"Giszowiec, Katowice, śląskie",75.0,4,3/10,wtórny,1970,brak informacji,miejskie,1 100 zł,pełna własność,brak informacji,biuro nieruchomości,"balkon, piwnica, oddzielna kuchnia",9199,nie,wielka płyta,plastikowe,blok,A+,teren zamknięty
https://www.otodom.pl/pl/oferta/po-remoncie-trzy-pokoje-balkon-ID4wwYc,Po remoncie! Trzy pokoje+balkon!,389 900 zł,"ul. Zamkowa, Janów-Nikiszowiec, Katowice, śląskie",45.0,3,3/4,wtórny,1970,do zamieszkania,miejskie,950 zł,pełna własność,brak informacji,biuro nieruchomości,"balkon, oddzielna kuchnia",8664,nie,cegła,plastikowe,blok,A+,brak informacji
https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-centrum-300m-od-dworca-pkp-ID4u4Bo,Mieszkanie 2-pokojowe CENTRUM 300m od Dworca PKP,249 000 zł,"ul. Wincentego Styczyńskiego, Śródmieście, Katowice, śląskie",25.0,2,1/3,wtórny,1906,do wykończenia,miejskie,250 zł,pełna własność,brak informacji,biuro nieruchomości,piwnica,9960,nie,cegła,brak informacji,kamienica,W trakcie realizacji / Zwolnione,monitoring / ochrona
https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-w-apartamentowcu-w-centrum-ID4wwTs,Dwupokojowe mieszkanie w apartamentowcu w centrum,505 208 zł,"Śródmieście, Katowice, śląskie",36.74,2,10/16,pierwotny,2026,do wykończenia,miejskie,400 zł,brak informacji,2026-12-30,biuro nieruchomości,"balkon, garaż/miejsce parkingowe",13751,tak,inny,plastikowe,apartamentowiec,brak informacji,brak informacji
https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-w-apartamentowcu-w-centrum-ID4wwTr,Dwupokojowe mieszkanie w apartamentowcu w centrum,588 581 zł,"Śródmieście, Katowice, śląskie",43.55,2,4/16,pierwotny,2026,do wykończenia,miejskie,400 zł,brak informacji,2026-12-30,biuro nieruchomości,"balkon, garaż/miejsce parkingowe",13515,tak,inny,plastikowe,apartamentowiec,brak informacji,brak informacji
https://www.otodom.pl/pl/oferta/trzypokojowe-mieszkanie-w-apartamentowcu-w-centrum-ID4wwTq,Trzypokojowe mieszkanie w apartamentowcu w centrum,600 604 zł,"Śródmieście, Katowice, śląskie",51.03,3,2/16,pierwotny,2026,do wykończenia,miejskie,400 zł,brak informacji,2026-12-30,biuro nieruchomości,"balkon, garaż/miejsce parkingowe",11770,tak,inny,plastikowe,apartamentowiec,brak informacji,brak informacji
https://www.otodom.pl/pl/oferta/trzypokojowe-mieszkanie-w-apartamentowcu-w-centrum-ID4wwTp,Trzypokojowe mieszkanie w apartamentowcu w centrum,590 745 zł,"Śródmieście, Katowice, śląskie",50.86,3,1/16,pierwotny,2026,do wykończenia,miejskie,400 zł,brak informacji,2026-12-30,biuro nieruchomości,"balkon, garaż/miejsce parkingowe",11615,tak,inny,plastikowe,apartamentowiec,brak informacji,brak informacji
https://www.otodom.pl/pl/oferta/nowosc-2-pokoje-z-balkonem-katowice-ID4wwSP,"Nowość, 2 Pokoje Z Balkonem, Katowice",469 737 zł,"ul. Józefowska, Śródmieście, Katowice, śląskie",38.19,2,4/10,pierwotny,2026,brak informacji,miejskie,0,pełna własność,brak informacji,biuro nieruchomości,"balkon, garaż/miejsce parkingowe, pom. użytkowe",12300,tak,brak informacji,brak informacji,apartamentowiec,brak informacji,monitoring / ochrona
